file_id	status	path	file_kind	route_classes	features	group	disposition	owner_step	evidence	notes	minimalism_gate
000003	D	.devcontainer/ci-env/devcontainer.json	metadata	primary	source:tree:metadata	source-metadata	drop	M00	Repository metadata, CI, or developer-file delta only.	No 8X runtime/build behavior for target migration.	context grouped; hardware files not dropped from filename alone
000004	D	.gitattributes	unknown	primary	source:tree:metadata	source-metadata	drop	M00	Repository metadata, CI, or developer-file delta only.	No 8X runtime/build behavior for target migration.	context grouped; hardware files not dropped from filename alone
000005	D	.github/FUNDING.yml	metadata	primary	source:tree:metadata	source-metadata	drop	M00	Repository metadata, CI, or developer-file delta only.	No 8X runtime/build behavior for target migration.	context grouped; hardware files not dropped from filename alone
000006	D	.github/ISSUE_TEMPLATE/bug-report.yml	metadata	primary	source:tree:metadata	source-metadata	drop	M00	Repository metadata, CI, or developer-file delta only.	No 8X runtime/build behavior for target migration.	context grouped; hardware files not dropped from filename alone
000007	D	.github/ISSUE_TEMPLATE/config.yml	metadata	primary	source:tree:metadata	source-metadata	drop	M00	Repository metadata, CI, or developer-file delta only.	No 8X runtime/build behavior for target migration.	context grouped; hardware files not dropped from filename alone
000008	D	.github/labeler.yml	metadata	primary	source:tree:metadata	source-metadata	drop	M00	Repository metadata, CI, or developer-file delta only.	No 8X runtime/build behavior for target migration.	context grouped; hardware files not dropped from filename alone
000009	D	.github/pull_request_template	unknown	primary	source:tree:metadata	source-metadata	drop	M00	Repository metadata, CI, or developer-file delta only.	No 8X runtime/build behavior for target migration.	context grouped; hardware files not dropped from filename alone
000010	D	.github/workflows/coverity.yml	metadata	primary	source:tree:metadata	source-metadata	drop	M00	Repository metadata, CI, or developer-file delta only.	No 8X runtime/build behavior for target migration.	context grouped; hardware files not dropped from filename alone
000011	D	.github/workflows/formal.yml	metadata	primary	source:tree:metadata	source-metadata	drop	M00	Repository metadata, CI, or developer-file delta only.	No 8X runtime/build behavior for target migration.	context grouped; hardware files not dropped from filename alone
000012	D	.github/workflows/github-release.yml	metadata	primary	source:tree:metadata	source-metadata	drop	M00	Repository metadata, CI, or developer-file delta only.	No 8X runtime/build behavior for target migration.	context grouped; hardware files not dropped from filename alone
000013	D	.github/workflows/issue-labeller.yml	metadata	primary	source:tree:metadata	source-metadata	drop	M00	Repository metadata, CI, or developer-file delta only.	No 8X runtime/build behavior for target migration.	context grouped; hardware files not dropped from filename alone
000014	D	.github/workflows/kernel.yml	metadata	primary	source:tree:metadata	source-metadata	drop	M00	Repository metadata, CI, or developer-file delta only.	No 8X runtime/build behavior for target migration.	context grouped; hardware files not dropped from filename alone
000015	D	.github/workflows/label-kernel.yml	metadata	primary	source:tree:metadata	source-metadata	drop	M00	Repository metadata, CI, or developer-file delta only.	No 8X runtime/build behavior for target migration.	context grouped; hardware files not dropped from filename alone
000016	D	.github/workflows/label-target.yml	metadata	primary	source:tree:metadata	source-metadata	drop	M00	Repository metadata, CI, or developer-file delta only.	No 8X runtime/build behavior for target migration.	context grouped; hardware files not dropped from filename alone
000017	D	.github/workflows/labeler.yml	metadata	primary	source:tree:metadata	source-metadata	drop	M00	Repository metadata, CI, or developer-file delta only.	No 8X runtime/build behavior for target migration.	context grouped; hardware files not dropped from filename alone
000018	D	.github/workflows/packages.yml	metadata	primary	source:tree:metadata	source-metadata	drop	M00	Repository metadata, CI, or developer-file delta only.	No 8X runtime/build behavior for target migration.	context grouped; hardware files not dropped from filename alone
000019	D	.github/workflows/push-containers.yml	metadata	primary	source:tree:metadata	source-metadata	drop	M00	Repository metadata, CI, or developer-file delta only.	No 8X runtime/build behavior for target migration.	context grouped; hardware files not dropped from filename alone
000020	D	.github/workflows/scripts/ci_helpers.sh	shell	primary	source:tree:metadata	source-metadata	drop	M00	Repository metadata, CI, or developer-file delta only.	No 8X runtime/build behavior for target migration.	context grouped; hardware files not dropped from filename alone
000021	D	.github/workflows/scripts/show_build_failures.sh	shell	primary	source:tree:metadata	source-metadata	drop	M00	Repository metadata, CI, or developer-file delta only.	No 8X runtime/build behavior for target migration.	context grouped; hardware files not dropped from filename alone
000022	D	.github/workflows/toolchain.yml	metadata	primary	source:tree:metadata	source-metadata	drop	M00	Repository metadata, CI, or developer-file delta only.	No 8X runtime/build behavior for target migration.	context grouped; hardware files not dropped from filename alone
000023	D	.github/workflows/tools.yml	metadata	primary	source:tree:metadata	source-metadata	drop	M00	Repository metadata, CI, or developer-file delta only.	No 8X runtime/build behavior for target migration.	context grouped; hardware files not dropped from filename alone
000024	D	.gitignore	unknown	primary	source:tree:metadata	source-metadata	drop	M00	Repository metadata, CI, or developer-file delta only.	No 8X runtime/build behavior for target migration.	context grouped; hardware files not dropped from filename alone
000025	M	README.md	doc	primary	source:tree:metadata	source-metadata	drop	M00	README patch only adds vendor build title.	No code, hardware, package, or target behavior to migrate.	context grouped; hardware files not dropped from filename alone
