file_id	status	path	file_kind	route_classes	features	group	disposition	owner_step	evidence	notes	minimalism_gate
000482	A	package/mtk/optee-mediatek/files/optee.init	unknown	supporting	openwrt:init:service	non-wired-optee-init	drop	M04	OP-TEE tee-supplicant init service is not Ethernet, MDIO, MAC, or network-default evidence.	Do not migrate in M04; revisit only if a later security/TEE step requires OP-TEE userspace.	diff inspected; not a wired shortcut
000490	A	package/mtk/reset-boot-count/Makefile	makefile	supporting	openwrt:init:service	reset-boot-count-storage-init	defer	M10	reset-boot-count only acts when a devicetree reset-boot-count flag exists; M02 already treated this as storage/boot-count policy, not SD/no-install or M04 wired.	M10 TODO: decide reset-boot-count package and bootcount semantics with persistent env/storage policy.	deferred with owner; no wired assumption
000491	A	package/mtk/reset-boot-count/files/reset-boot-count.init	unknown	supporting	openwrt:init:service	reset-boot-count-storage-init	defer	M10	reset-boot-count only acts when a devicetree reset-boot-count flag exists; M02 already treated this as storage/boot-count policy, not SD/no-install or M04 wired.	M10 TODO: decide reset-boot-count package and bootcount semantics with persistent env/storage policy.	deferred with owner; no wired assumption
000492	A	package/mtk/reset-boot-count/src/Makefile	makefile	supporting	openwrt:init:service	reset-boot-count-storage-init	defer	M10	reset-boot-count only acts when a devicetree reset-boot-count flag exists; M02 already treated this as storage/boot-count policy, not SD/no-install or M04 wired.	M10 TODO: decide reset-boot-count package and bootcount semantics with persistent env/storage policy.	deferred with owner; no wired assumption
000493	A	package/mtk/reset-boot-count/src/reset-boot-count.c	source	supporting	openwrt:init:service	reset-boot-count-storage-init	defer	M10	reset-boot-count only acts when a devicetree reset-boot-count flag exists; M02 already treated this as storage/boot-count policy, not SD/no-install or M04 wired.	M10 TODO: decide reset-boot-count package and bootcount semantics with persistent env/storage policy.	deferred with owner; no wired assumption
000494	D	package/network/config/netifd/files/etc/init.d/packet_steering	unknown	primary	openwrt:network:defaults	packet-steering-generic-netifd	drop	M04	Vendor deletes generic packet_steering init service; no direct 8X hardware fact or LAN/WAN topology is encoded.	Keep target 25.12 netifd packet steering behavior unless later performance work proves a board-specific need.	deleted-file polarity checked
000495	M	package/network/config/netifd/files/usr/libexec/network/packet-steering.uc	script	primary	openwrt:network:defaults	packet-steering-generic-netifd	drop	M04	Patch changes a NAPI name regex in generic packet-steering.uc only; it does not define 8X wired topology or MAC assignment.	Do not migrate as M04 hardware support; performance tuning can re-open after basic wired runtime evidence.	diff inspected; not filename-only
000496	A	package/network/config/netifd/patches/mtk-0001-Revert-wireless-reload-wireless-device-if-any-vif-ne.patch	patch	primary	openwrt:network:defaults	wireless-netifd-policy	defer	M07	Patch reverts a wireless reload behavior in netifd; it is Wi-Fi/userspace policy, not M04 wired management.	M07 TODO: review wireless reload behavior with Wi-Fi userspace/MLO policy if needed.	wireless boundary declared
000504	M	package/network/services/dnsmasq/Makefile	makefile	primary	openwrt:network:defaults	dnsmasq-version-sync	superseded-by-target	M04	Vendor dnsmasq changes are version/patch refresh around 2.91; target OpenWrt 25.12 already carries dnsmasq 2.91-era package and current patch stack.	No M04 migration action; use target dnsmasq package rather than copying vendor version/deleted patches.	target structure checked; not hardware truth
000505	D	package/network/services/dnsmasq/patches/0001-Fix-spurious-resource-limit-exceeded-messages.patch	patch	primary	openwrt:network:defaults	dnsmasq-version-sync	superseded-by-target	M04	Vendor dnsmasq changes are version/patch refresh around 2.91; target OpenWrt 25.12 already carries dnsmasq 2.91-era package and current patch stack.	No M04 migration action; use target dnsmasq package rather than copying vendor version/deleted patches.	target structure checked; not hardware truth
