file_id	status	path	file_kind	route_classes	features	group	disposition	owner_step	evidence	notes	minimalism_gate
000037	A	package/kernel/aqr10g-phy-fw/Makefile	makefile	primary	firmware:phy:runtime,network:phy:10gbase-t,network:phy:firmware	aqr-firmware-needs-evidence	needs-evidence	M05	Direct 8X DTS names AS21xxx firmware on PHY24/PHY28; AQR firmware appears only in vendor package and RFB AQR/CUX references.	M05 TODO: prove actual 8X AQR/CUX hardware or module usage before migrating AQR firmware; otherwise do not carry this vendor package for 8X.	needs evidence recorded; no AQR inference from package name
000038	A	package/kernel/aqr10g-phy-fw/files/AQR-G4_v5.7.0-AQR_EVB_Generic_X3410_StdCfg_MDISwap_USX_ID46316_VER2148.cld	firmware	primary	firmware:phy:runtime,network:phy:10gbase-t,network:phy:firmware	aqr-firmware-needs-evidence	needs-evidence	M05	Direct 8X DTS names AS21xxx firmware on PHY24/PHY28; AQR firmware appears only in vendor package and RFB AQR/CUX references.	M05 TODO: prove actual 8X AQR/CUX hardware or module usage before migrating AQR firmware; otherwise do not carry this vendor package for 8X.	needs evidence recorded; no AQR inference from package name
000039	A	package/kernel/aqr10g-phy-fw/files/Rhe-05.06-Candidate9-AQR_Mediatek_23B_P5_ID45824_LCLVER1.cld	firmware	primary	firmware:phy:runtime,network:phy:10gbase-t,network:phy:firmware	aqr-firmware-needs-evidence	needs-evidence	M05	Direct 8X DTS names AS21xxx firmware on PHY24/PHY28; AQR firmware appears only in vendor package and RFB AQR/CUX references.	M05 TODO: prove actual 8X AQR/CUX hardware or module usage before migrating AQR firmware; otherwise do not carry this vendor package for 8X.	needs evidence recorded; no AQR inference from package name
000040	A	package/kernel/as21xxx/Makefile	makefile	primary	firmware:phy:runtime,network:phy:10gbase-t,network:phy:firmware	as21xxx-target-package-closure	superseded-by-target	M05	Direct 8X DTS sets firmware-name as21x1x_fw.bin on AS21xxx PHY24/PHY28; target 25.12 provides kmod-phy-aeonsemi-as21xxx and aeonsemi-as21xxx-firmware.	Use target 25.12 AS21xxx driver and firmware package closure for 8X; do not copy vendor out-of-tree AS21xxx source package.	target source checked; direct 8X AS21xxx requirement retained
000041	A	package/kernel/as21xxx/firmware/as21x1x_fw.bin	firmware	primary	firmware:phy:runtime,network:phy:10gbase-t,network:phy:firmware	as21xxx-target-package-closure	superseded-by-target	M05	Direct 8X DTS sets firmware-name as21x1x_fw.bin on AS21xxx PHY24/PHY28; target 25.12 provides kmod-phy-aeonsemi-as21xxx and aeonsemi-as21xxx-firmware.	Use target 25.12 AS21xxx driver and firmware package closure for 8X; do not copy vendor out-of-tree AS21xxx source package.	target source checked; direct 8X AS21xxx requirement retained
000042	A	package/kernel/as21xxx/source/Kconfig	kconfig	primary	firmware:phy:runtime,network:phy:10gbase-t,network:phy:firmware	as21xxx-target-package-closure	superseded-by-target	M05	Direct 8X DTS sets firmware-name as21x1x_fw.bin on AS21xxx PHY24/PHY28; target 25.12 provides kmod-phy-aeonsemi-as21xxx and aeonsemi-as21xxx-firmware.	Use target 25.12 AS21xxx driver and firmware package closure for 8X; do not copy vendor out-of-tree AS21xxx source package.	target source checked; direct 8X AS21xxx requirement retained
000043	A	package/kernel/as21xxx/source/Makefile	makefile	primary	firmware:phy:runtime,network:phy:10gbase-t,network:phy:firmware	as21xxx-target-package-closure	superseded-by-target	M05	Direct 8X DTS sets firmware-name as21x1x_fw.bin on AS21xxx PHY24/PHY28; target 25.12 provides kmod-phy-aeonsemi-as21xxx and aeonsemi-as21xxx-firmware.	Use target 25.12 AS21xxx driver and firmware package closure for 8X; do not copy vendor out-of-tree AS21xxx source package.	target source checked; direct 8X AS21xxx requirement retained
000044	A	package/kernel/as21xxx/source/as21xx_bbu_api/as21xx_api.c	source	primary	firmware:phy:runtime,network:phy:10gbase-t,network:phy:firmware	as21xxx-target-package-closure	superseded-by-target	M05	Direct 8X DTS sets firmware-name as21x1x_fw.bin on AS21xxx PHY24/PHY28; target 25.12 provides kmod-phy-aeonsemi-as21xxx and aeonsemi-as21xxx-firmware.	Use target 25.12 AS21xxx driver and firmware package closure for 8X; do not copy vendor out-of-tree AS21xxx source package.	target source checked; direct 8X AS21xxx requirement retained
000045	A	package/kernel/as21xxx/source/as21xx_bbu_api/as21xx_api.h	header	primary	firmware:phy:runtime,network:phy:10gbase-t,network:phy:firmware	as21xxx-target-package-closure	superseded-by-target	M05	Direct 8X DTS sets firmware-name as21x1x_fw.bin on AS21xxx PHY24/PHY28; target 25.12 provides kmod-phy-aeonsemi-as21xxx and aeonsemi-as21xxx-firmware.	Use target 25.12 AS21xxx driver and firmware package closure for 8X; do not copy vendor out-of-tree AS21xxx source package.	target source checked; direct 8X AS21xxx requirement retained
000046	A	package/kernel/as21xxx/source/as21xx_bbu_api/as21xx_debugfs.c	source	primary	firmware:phy:runtime,network:phy:10gbase-t,network:phy:firmware	as21xxx-target-package-closure	superseded-by-target	M05	Direct 8X DTS sets firmware-name as21x1x_fw.bin on AS21xxx PHY24/PHY28; target 25.12 provides kmod-phy-aeonsemi-as21xxx and aeonsemi-as21xxx-firmware.	Use target 25.12 AS21xxx driver and firmware package closure for 8X; do not copy vendor out-of-tree AS21xxx source package.	target source checked; direct 8X AS21xxx requirement retained
