file_id	status	path	file_kind	route_classes	features	group	disposition	owner_step	evidence	notes	minimalism_gate
000343	M	package/kernel/mt76/Makefile	makefile	primary	firmware:wifi:eeprom,firmware:wifi:runtime,identity:calibration:wifi,wireless:calibration:eeprom,wireless:mt76:driver,wireless:mt76:eeprom,wireless:mt76:firmware	M06-D-mt76-package-closure	superseded-by-target	M06	Vendor mt76 Makefile uses source date 2025-06-01; target 25.12 mt76 Makefile uses newer 2026-03-19 source and defines mt7996e, mt7996-firmware, and mt7996-233-firmware packages.	Use target mt76 package structure for basic 8X Wi-Fi closure. Do not copy vendor mt76 Makefile or vendor patch stack wholesale; M08 owns WED/offload package implications.	target package checked; package-list clue not treated as runtime Wi-Fi success
000344	A	package/kernel/mt76/patches/0001-mtk-mt76-mt7996-config-rxfilter-to-drop-other-unicas.patch	patch	primary	wireless:mt76:driver	M06-E-mt76-basic-bringup-needs-evidence	needs-evidence	M06	Patch [01/95] sets MT_WF_RFCR_DROP_OTHER_UC by default and clears it only in monitor mode, reducing unrelated unicast RX traffic; possible basic RX/filtering relevance but target mt76 may already differ.	M06 TODO: compare target mt76 rxfilter initialization or test basic association/RX before porting this one-line behavior.	not ported from subject alone; target/source or runtime proof required
000345	A	package/kernel/mt76/patches/0002-mtk-mt76-mt7996-fix-thermal-notify-event.patch	patch	primary	wireless:mt76:driver	M06-E-mt76-basic-bringup-needs-evidence	needs-evidence	M06	Patch [02/95] updates thermal notify tag/event handling after firmware changes and removes a stale unsolicited-event path; possible firmware-event stability relevance but not proven against target 25.12.	M06 TODO: compare target thermal event handling and basic-radio logs before deciding whether this is superseded or needed.	firmware-event evidence gap recorded
000346	A	package/kernel/mt76/patches/0003-mtk-mt76-mt7996-Fix-call-trace-happened-when-wed-att.patch	patch	primary	wireless:mt76:driver	M06-E-mt76-offload-wed-handoff	defer	M08	"Vendor mt76 patch subject is ""[PATCH 03/95] mtk: mt76: mt7996: Fix call trace happened when wed"" and touches WED/RRO/HWRRO/offload-adjacent behavior, which is outside basic radio probe."	M08 TODO: review only after M06 radio enumeration and M07 userspace policy are stable; do not enable WED/offload in M06.	later-step offload boundary explicit
000347	A	package/kernel/mt76/patches/0004-mtk-mt76-mt7996-Remove-wed-rro-ring-add-napi-at-init.patch	patch	primary	wireless:mt76:driver	M06-E-mt76-offload-wed-handoff	defer	M08	"Vendor mt76 patch subject is ""[PATCH 04/95] mtk: mt76: mt7996: Remove wed rro ring add napi at init"" and touches WED/RRO/HWRRO/offload-adjacent behavior, which is outside basic radio probe."	M08 TODO: review only after M06 radio enumeration and M07 userspace policy are stable; do not enable WED/offload in M06.	later-step offload boundary explicit
000348	A	package/kernel/mt76/patches/0005-mtk-mt76-mt7996-Remove-wed_stop-during-L1-SER.patch	patch	primary	wireless:mt76:driver	M06-E-mt76-offload-wed-handoff	defer	M08	"Vendor mt76 patch subject is ""[PATCH 05/95] mtk: mt76: mt7996: Remove wed_stop during L1 SER"" and touches WED/RRO/HWRRO/offload-adjacent behavior, which is outside basic radio probe."	M08 TODO: review only after M06 radio enumeration and M07 userspace policy are stable; do not enable WED/offload in M06.	later-step offload boundary explicit
000349	A	package/kernel/mt76/patches/0006-mtk-mt76-mt7996-SER-support-hw-detect-only-mode.patch	patch	primary	wireless:mt76:driver	M06-E-mt76-debug-testmode-review-only	review-only	M06	Patch [06/95] adds SER hw-detect-only mode through debugfs/sys_recovery command descriptions and MCU enum values; it is recovery/debug instrumentation, not direct M06 probe/firmware/calibration evidence.	Review only for troubleshooting context. Reopen only if basic radio probe fails and logs show SER recovery behavior is the blocker.	not kept as needs-evidence after patch-content QC; debug/recovery-only scope recorded
000350	A	package/kernel/mt76/patches/0007-mtk-mt76-add-debug-tools.patch	patch	primary	firmware:wifi:eeprom,identity:calibration:wifi,wireless:calibration:eeprom,wireless:mt76:driver,wireless:mt76:eeprom	M06-E-mt76-debug-testmode-review-only	review-only	M06	"Vendor mt76 patch subject is ""[PATCH 07/95] mtk: mt76: add debug tools"" and primarily adds debug/testmode/monitor/coredump or instrumentation behavior."	Use only as diagnostic reference. Do not migrate into M06 unless basic radio probe fails and this exact behavior is proven necessary.	debug/testmode not promoted to hardware bring-up
000351	A	package/kernel/mt76/patches/0008-mtk-mt76-mt7996-add-critical-update-support.patch	patch	primary	wireless:mt76:driver	M06-E-mt76-dfs-csa-policy-handoff	defer	M07	Patch [08/95] adds critical-update support covering WMM configuration, channel switch, affiliated-link per-STA CSA/eCSA countdown, beacon reset during CSA/CAC, and critical-update MCU events; this is channel-switch/beacon policy beyond M06 basic probe/load/calibration.	M07 TODO: review after M06 proves basic radio probe, firmware load, calibration source selection, and basic Wi-Fi 6 association; do not claim advanced wireless policy/runtime success in M06.	advanced wireless policy boundary explicit after patch-content QC
000352	A	package/kernel/mt76/patches/0009-mtk-mt76-mt7996-Add-support-for-EMLSR.patch	patch	primary	wireless:mt76:driver	M06-E-mt76-mlo-afc-policy-handoff	defer	M07	Patch [09/95] registers EMLSR capability, sends EML capability to firmware, and handles EML Operating Mode Notification frames; this is MLO/EMLSR policy beyond M06 basic association.	M07 TODO: review after M06 proves basic radio probe, firmware load, calibration source selection, and basic Wi-Fi 6 association; do not claim advanced wireless policy/runtime success in M06.	advanced wireless policy boundary explicit after patch-content QC
000353	A	package/kernel/mt76/patches/0010-mtk-mt76-mt7996-trigger-channel-calibration-for-DFS-.patch	patch	primary	firmware:wifi:eeprom,identity:calibration:wifi,wireless:calibration:eeprom,wireless:mt76:driver,wireless:mt76:eeprom	M06-E-mt76-dfs-csa-policy-handoff	defer	M07	Patch [10/95] triggers DFS-link channel calibration after STA association and changes channel switch reason handling for DFS/AP-vs-STA; this is DFS/CSA behavior beyond M06 basic association proof.	M07 TODO: review after M06 proves basic radio probe, firmware load, calibration source selection, and basic Wi-Fi 6 association; do not claim advanced wireless policy/runtime success in M06.	advanced wireless policy boundary explicit after patch-content QC
000354	A	package/kernel/mt76/patches/0011-mtk-mt76-mt7996-update-testmode-bf-support.patch	patch	primary	firmware:wifi:eeprom,identity:calibration:wifi,wireless:calibration:eeprom,wireless:mt76:driver,wireless:mt76:eeprom	M06-E-mt76-debug-testmode-review-only	review-only	M06	"Vendor mt76 patch subject is ""[PATCH 11/95] mtk: mt76: mt7996: update testmode bf support"" and primarily adds debug/testmode/monitor/coredump or instrumentation behavior."	Use only as diagnostic reference. Do not migrate into M06 unless basic radio probe fails and this exact behavior is proven necessary.	debug/testmode not promoted to hardware bring-up
000355	A	package/kernel/mt76/patches/0012-mtk-mt76-mt7996-Fix-inconsistent-QoS-mapping-between.patch	patch	primary	wireless:mt76:driver	M06-E-mt76-qos-scs-policy-handoff	defer	M07	Patch [12/95] maps IP DSCP to IEEE 802.11 User Priority in firmware and WDMA paths, adding set_qos_map plumbing; this is QoS policy/traffic mapping, not M06 radio probe or calibration.	M07 TODO: review after M06 proves basic radio probe, firmware load, calibration source selection, and basic Wi-Fi 6 association; do not claim advanced wireless policy/runtime success in M06.	advanced wireless policy boundary explicit after patch-content QC
000356	A	package/kernel/mt76/patches/0013-mtk-mt76-mt7996-update-TX-RX-rates-via-MCU-command.patch	patch	primary	wireless:mt76:driver	M06-E-mt76-debug-testmode-review-only	review-only	M06	"Vendor mt76 patch subject is ""[PATCH 13/95] mtk: mt76: mt7996: update TX/RX rates via MCU command"" and primarily adds debug/testmode/monitor/coredump or instrumentation behavior."	Use only as diagnostic reference. Do not migrate into M06 unless basic radio probe fails and this exact behavior is proven necessary.	debug/testmode not promoted to hardware bring-up
000357	A	package/kernel/mt76/patches/0014-mtk-mt76-mt7996-support-configure-trigger-frame-and-.patch	patch	primary	wireless:mt76:driver	M06-E-mt76-vendor-cert-policy-handoff	defer	M07	Patch [14/95] adds vendor-command handling for trigger-frame variant, coding type, link_id/radio selection, and Wi-Fi 7 R1 certification controls; this is userspace/vendor certification policy beyond M06.	M07 TODO: review after M06 proves basic radio probe, firmware load, calibration source selection, and basic Wi-Fi 6 association; do not claim advanced wireless policy/runtime success in M06.	advanced wireless policy boundary explicit after patch-content QC
000358	A	package/kernel/mt76/patches/0015-mtk-mt76-mt7996-update-preamble-puncture-support-for.patch	patch	primary	wireless:mt76:driver	M06-E-mt76-preamble-puncture-policy-handoff	defer	M07	Patch [15/95] updates preamble puncture station/FW-mode support and PP events; this is advanced EHT channel-width/preamble-puncture behavior beyond M06 basic radio bring-up.	M07 TODO: review after M06 proves basic radio probe, firmware load, calibration source selection, and basic Wi-Fi 6 association; do not claim advanced wireless policy/runtime success in M06.	advanced wireless policy boundary explicit after patch-content QC
000359	A	package/kernel/mt76/patches/0016-mtk-mt76-Add-dynamic-pp-vendor-and-debug-pp-algo-cmd.patch	patch	primary	wireless:mt76:driver	M06-E-mt76-debug-testmode-review-only	review-only	M06	"Vendor mt76 patch subject is ""[PATCH 16/95] mtk: mt76: Add dynamic pp vendor and debug pp algo cmd"" and primarily adds debug/testmode/monitor/coredump or instrumentation behavior."	Use only as diagnostic reference. Do not migrate into M06 unless basic radio probe fails and this exact behavior is proven necessary.	debug/testmode not promoted to hardware bring-up
000360	A	package/kernel/mt76/patches/0017-mtk-mt76-mt7996-add-AP-affiliated-link-removal-suppo.patch	patch	primary	wireless:mt76:driver	M06-E-mt76-mlo-afc-policy-handoff	defer	M07	Patch [17/95] implements AP affiliated-link removal and MLO reconfiguration/link-removal mechanics, plus MLO scan/link accounting fixes; this belongs to M07 MLO behavior.	M07 TODO: review after M06 proves basic radio probe, firmware load, calibration source selection, and basic Wi-Fi 6 association; do not claim advanced wireless policy/runtime success in M06.	advanced wireless policy boundary explicit after patch-content QC
000361	A	package/kernel/mt76/patches/0018-mtk-mt76-mt7996-add-support-for-AP-A-TTLM.patch	patch	primary	wireless:mt76:driver	M06-E-mt76-mlo-afc-policy-handoff	defer	M07	Patch [18/95] adds AP A-TTLM support, firmware events, and set_attlm operation; this is explicit MLO/TTLM behavior for M07.	M07 TODO: review after M06 proves basic radio probe, firmware load, calibration source selection, and basic Wi-Fi 6 association; do not claim advanced wireless policy/runtime success in M06.	advanced wireless policy boundary explicit after patch-content QC
