file_id	status	path	file_kind	route_classes	features	group	disposition	owner_step	evidence	notes	minimalism_gate
000034	A	package/firmware/wireless-regdb/patches/600-world-regd-6GHz.patch	patch	primary	wireless:regulatory:db	M07-E-afc-lpi-6ghz-regulatory	needs-evidence	M07	Dense-read diff: 600-world-regd-6GHz adds country 00 5925-7125 MHz @320 MHz 12 dBm NO-OUTDOOR and removes NO-IR from US 5925-7125 MHz 6 GHz rule; target same-path absent; vendor source has patch only.	TODO: require regulatory/legal provenance before accepting 6 GHz NO-IR removal or world-domain 6E enablement. Not 8X hardware truth and not ordinary AP prerequisite; M11 must re-check release/regulatory policy.	No hidden minimalism: retained as needs-evidence because patch body changes regulatory transmit rules, not because filename says regdb.
000035	A	package/firmware/wireless-regdb/patches/700-world-regd-5G_UNII-4.patch	patch	primary	wireless:regulatory:db	M07-E-afc-lpi-6ghz-regulatory	needs-evidence	M07	Dense-read diff: 700-world-regd-5G_UNII-4 expands country 00 channel 149-177 from 5735-5835 @80 to 5735-5895 @160 and removes NO-IR from US 5850-5895 UNII-4 rule; target same-path absent.	TODO: require regulatory/legal provenance before any UNII-4/no-NO-IR acceptance. This is policy/regdb evidence only, not direct 8X hardware behavior or runtime success.	No hidden minimalism: retained as needs-evidence after reading exact UNII-4 hunks; not dropped or accepted from patch name.
000036	A	package/firmware/wireless-regdb/patches/999-add-country-vv.patch	patch	primary	wireless:regulatory:db	M07-E-afc-lpi-6ghz-regulatory	needs-evidence	M07	Dense-read diff: 999-add-country-vv adds country VV with 2402-2494 MHz @40/30 dBm, 4910-4990 MHz @80/30 dBm, 5150-5895 MHz @160/30 dBm, 5030-5090 MHz @20/30 dBm, and 5925-7125 MHz @320/200 mW NO-OUTDOOR.	TODO: country VV is a vendor regulatory override/provenance gap. Do not treat 2.4G/4.9G/5G/6G VV rules as 8X hardware truth, ordinary AP prerequisite, or legal release policy without M07/M11 review.	No hidden minimalism: exact country VV band rules are recorded; disposition stays needs-evidence pending provenance.
000054	M	package/kernel/mac80211/Makefile	makefile	review-only	wireless:mac80211:patch	M07-mac80211-Makefile-backports-baseline	superseded-by-target	M07	Source comparison: vendor mac80211 Makefile moves backports 6.12.6 -> 6.14-rc7, adds SOURCE_PATH copy, MAC80211_* debug symbols, and -Werror; target 25.12 uses newer backports 6.18.26-r1 without vendor SOURCE_PATH/-Werror/debug additions.	Use target mac80211/backports baseline. Vendor Makefile churn is not a direct M07 policy migration input and does not prove Wi-Fi runtime behavior.	No hidden minimalism: superseded-by-target is based on target Makefile source comparison, not filename or route tag.
000055	D	package/kernel/mac80211/patches/ath/070-ath_common_config.patch	patch	review-only	wireless:mac80211:patch	M07-mac80211-non-8X-driver-family/ath	drop	M07	Group-level classification with representative patch-body reads: ath reps 000055,000057,000062 show 000055 exposes ATH_COMMON Kconfig prompt; 000057 adds ATH_USER_REGD bypasses in ath/regd.c/Kconfig; 000062 adds ath5k platform EEPROM/MAC support. Direct 8X base DTS/overlay uses mt7996/mt76 on PCIe with AT24/factory EEPROM, not ath/ath5k Atheros common stack.	Drop as non-8X driver-family evidence after representative body reads, not from filename alone. Route tags such as regulatory/mac80211 do not override direct 8X mt7996/mt76 hardware authority. No M07 migration action for ath.	Group-level acceptable for ath: representative patch semantics are recorded and the direct 8X Wi-Fi path is mt7996/mt76; revisit only if later evidence shows this ath/ath5k Atheros common stack is present on 8X.
000056	D	package/kernel/mac80211/patches/ath/400-ath_move_debug_code.patch	patch	primary,review-only	wireless:regulatory:db,wireless:mac80211:patch	M07-mac80211-non-8X-driver-family/ath	drop	M07	Group-level classification with representative patch-body reads: ath reps 000055,000057,000062 show 000055 exposes ATH_COMMON Kconfig prompt; 000057 adds ATH_USER_REGD bypasses in ath/regd.c/Kconfig; 000062 adds ath5k platform EEPROM/MAC support. Direct 8X base DTS/overlay uses mt7996/mt76 on PCIe with AT24/factory EEPROM, not ath/ath5k Atheros common stack.	Drop as non-8X driver-family evidence after representative body reads, not from filename alone. Route tags such as regulatory/mac80211 do not override direct 8X mt7996/mt76 hardware authority. No M07 migration action for ath.	Group-level acceptable for ath: representative patch semantics are recorded and the direct 8X Wi-Fi path is mt7996/mt76; revisit only if later evidence shows this ath/ath5k Atheros common stack is present on 8X.
000057	D	package/kernel/mac80211/patches/ath/402-ath_regd_optional.patch	patch	primary,review-only	wireless:regulatory:db,wireless:mac80211:patch	M07-mac80211-non-8X-driver-family/ath	drop	M07	Group-level classification with representative patch-body reads: ath reps 000055,000057,000062 show 000055 exposes ATH_COMMON Kconfig prompt; 000057 adds ATH_USER_REGD bypasses in ath/regd.c/Kconfig; 000062 adds ath5k platform EEPROM/MAC support. Direct 8X base DTS/overlay uses mt7996/mt76 on PCIe with AT24/factory EEPROM, not ath/ath5k Atheros common stack.	Drop as non-8X driver-family evidence after representative body reads, not from filename alone. Route tags such as regulatory/mac80211 do not override direct 8X mt7996/mt76 hardware authority. No M07 migration action for ath.	Group-level acceptable for ath: representative patch semantics are recorded and the direct 8X Wi-Fi path is mt7996/mt76; revisit only if later evidence shows this ath/ath5k Atheros common stack is present on 8X.
000058	D	package/kernel/mac80211/patches/ath/403-world_regd_fixup.patch	patch	primary,review-only	wireless:regulatory:db,wireless:mac80211:patch	M07-mac80211-non-8X-driver-family/ath	drop	M07	Group-level classification with representative patch-body reads: ath reps 000055,000057,000062 show 000055 exposes ATH_COMMON Kconfig prompt; 000057 adds ATH_USER_REGD bypasses in ath/regd.c/Kconfig; 000062 adds ath5k platform EEPROM/MAC support. Direct 8X base DTS/overlay uses mt7996/mt76 on PCIe with AT24/factory EEPROM, not ath/ath5k Atheros common stack.	Drop as non-8X driver-family evidence after representative body reads, not from filename alone. Route tags such as regulatory/mac80211 do not override direct 8X mt7996/mt76 hardware authority. No M07 migration action for ath.	Group-level acceptable for ath: representative patch semantics are recorded and the direct 8X Wi-Fi path is mt7996/mt76; revisit only if later evidence shows this ath/ath5k Atheros common stack is present on 8X.
000059	D	package/kernel/mac80211/patches/ath/404-regd_no_assoc_hints.patch	patch	primary,review-only	wireless:regulatory:db,wireless:mac80211:patch	M07-mac80211-non-8X-driver-family/ath	drop	M07	Group-level classification with representative patch-body reads: ath reps 000055,000057,000062 show 000055 exposes ATH_COMMON Kconfig prompt; 000057 adds ATH_USER_REGD bypasses in ath/regd.c/Kconfig; 000062 adds ath5k platform EEPROM/MAC support. Direct 8X base DTS/overlay uses mt7996/mt76 on PCIe with AT24/factory EEPROM, not ath/ath5k Atheros common stack.	Drop as non-8X driver-family evidence after representative body reads, not from filename alone. Route tags such as regulatory/mac80211 do not override direct 8X mt7996/mt76 hardware authority. No M07 migration action for ath.	Group-level acceptable for ath: representative patch semantics are recorded and the direct 8X Wi-Fi path is mt7996/mt76; revisit only if later evidence shows this ath/ath5k Atheros common stack is present on 8X.
000060	D	package/kernel/mac80211/patches/ath/405-ath_regd_us.patch	patch	primary,review-only	wireless:regulatory:db,wireless:mac80211:patch	M07-mac80211-non-8X-driver-family/ath	drop	M07	Group-level classification with representative patch-body reads: ath reps 000055,000057,000062 show 000055 exposes ATH_COMMON Kconfig prompt; 000057 adds ATH_USER_REGD bypasses in ath/regd.c/Kconfig; 000062 adds ath5k platform EEPROM/MAC support. Direct 8X base DTS/overlay uses mt7996/mt76 on PCIe with AT24/factory EEPROM, not ath/ath5k Atheros common stack.	Drop as non-8X driver-family evidence after representative body reads, not from filename alone. Route tags such as regulatory/mac80211 do not override direct 8X mt7996/mt76 hardware authority. No M07 migration action for ath.	Group-level acceptable for ath: representative patch semantics are recorded and the direct 8X Wi-Fi path is mt7996/mt76; revisit only if later evidence shows this ath/ath5k Atheros common stack is present on 8X.
