file_id	status	path	file_kind	route_classes	features	group	disposition	owner_step	evidence	notes	minimalism_gate
000842	A	target/linux/mediatek/files-6.6/arch/arm64/boot/dts/mediatek/mt7987-pinctrl.dtsi	dtsi	supporting	dts:overlay:pcie	M09-supporting-non-8X-MT7987-PCIe-pinctrl	review-only	M09	Dense-read: MT7987 pinctrl patch defines pcie0_pins and pcie1_pins plus storage/SPI/eMMC pin groups for non-8X MT7987 SoC.	Use only as supporting PCIe pinctrl context. It does not decide direct 8X PCIe slot truth.	pass: not dropped from filename; patch body read and limited to non-8X support context.
000845	A	target/linux/mediatek/files-6.6/arch/arm64/boot/dts/mediatek/mt7987-spim-nand.dtso	dtso	supporting	dts:overlay:pcie	M09-storage-overlay-boundary	defer	M10	Dense-read: MT7987 SPIM-NAND overlay enables spi-nand, rootdisk-spim-nand, and a pcie0 slot node.	Primary semantics are non-8X storage/rootdisk overlay. M09 records PCIe clue only; M10 owns any storage/partition/rootdisk review. TODO: M10 verify whether any analogous 8X NAND/rootdisk semantics exist.	pass: storage content not silently pulled into M09.
000847	A	target/linux/mediatek/files-6.6/arch/arm64/boot/dts/mediatek/mt7987.dtsi	dtsi	primary,supporting	dts:fan:pwm,dts:thermal:zone,thermal:fan:pwm,dts:overlay:pcie	M09-supporting-non-8X-MT7987-SoC-extras	review-only	M09	Dense-read: MT7987 SoC dtsi adds pwm-fan, thermal-zones with cooling-device fan levels, ssusb, and pcie0/pcie1 controllers.	Non-8X SoC reference only. Direct 8X board fan and PCIe truth comes from 000859, not MT7987.	pass: route over-tag handled by evidence boundary.
000848	A	target/linux/mediatek/files-6.6/arch/arm64/boot/dts/mediatek/mt7987a-bananapi-bpi-r4-lite-1pcie-2L.dtso	dtso	supporting	dts:overlay:pcie	M09-supporting-BPI-R4Lite-PCIe-overlays	review-only	M09	Dense-read: R4Lite overlay uses aw35710qnr_sel and sets pcie@11290000 status disabled for 1pcie-2L variant.	Supporting R4Lite mux/PCIe variant evidence only; not direct 8X expansion truth.	pass: no R4Lite topology promoted to 8X requirement.
000849	A	target/linux/mediatek/files-6.6/arch/arm64/boot/dts/mediatek/mt7987a-bananapi-bpi-r4-lite-2pcie-1L-M2.dtso	dtso	supporting	dts:overlay:pcie	M09-supporting-BPI-R4Lite-PCIe-overlays	review-only	M09	Dense-read: R4Lite overlay uses aw35710qnr_sel and sets pcie@11290000 status okay for 2pcie-1L-M2 variant.	Supporting R4Lite PCIe/M.2 mux evidence only; not direct 8X expansion truth.	pass: no R4Lite topology promoted to 8X requirement.
000850	A	target/linux/mediatek/files-6.6/arch/arm64/boot/dts/mediatek/mt7987a-bananapi-bpi-r4-lite-2pcie-1L.dtso	dtso	supporting	dts:overlay:pcie	M09-supporting-BPI-R4Lite-PCIe-overlays	review-only	M09	Dense-read: R4Lite overlay uses aw35710qnr_sel and sets pcie@11290000 status okay for 2pcie-1L variant.	Supporting R4Lite PCIe mux evidence only; not direct 8X expansion truth.	pass: no R4Lite topology promoted to 8X requirement.
000851	A	target/linux/mediatek/files-6.6/arch/arm64/boot/dts/mediatek/mt7987a-bananapi-bpi-r4-lite.dts	dts	primary,supporting	dts:button:definition,ui:button:reset,ui:button:wps,dts:overlay:pcie	M09-supporting-BPI-R4Lite-board-extras	review-only	M09	Dense-read: R4Lite DTS defines reset/WPS gpio-keys, enables PCIe/USB, and includes board-specific networking/storage content.	Supporting board-family style only. Direct 8X reset/WPS pins and PCIe slots are decided by 000859.	pass: board-family DTS not treated as direct 8X authority.
000852	A	target/linux/mediatek/files-6.6/arch/arm64/boot/dts/mediatek/mt7987a-rfb.dts	dts	primary,supporting	dts:button:definition,ui:button:reset,ui:button:wps,dts:overlay:pcie	M09-supporting-RFB-board-extras	review-only	M09	Dense-read: MT7987 RFB DTS defines reset/WPS gpio-keys and board bootargs with storage/rootdisk context.	RFB evidence is supporting only and includes storage behavior outside M09. Direct 8X button truth comes from 000859.	pass: RFB button/storage context not promoted to 8X migration action.
000853	A	target/linux/mediatek/files-6.6/arch/arm64/boot/dts/mediatek/mt7987a.dtsi	dtsi	primary,supporting	dts:fan:pwm,thermal:fan:pwm,dts:overlay:pcie	M09-supporting-non-8X-MT7987-board-extras	review-only	M09	Dense-read: MT7987A dtsi enables PWM, fan node disabled by default, PWM LED/RGB nodes, pcie0 okay, pcie1 disabled, and ssusb okay.	Use as supporting fan/PWM/PCIe style only. Direct 8X fan/PWM and PCIe slot topology comes from 000859.	pass: non-8X SoC/board defaults not copied.
000858	A	target/linux/mediatek/files-6.6/arch/arm64/boot/dts/mediatek/mt7988a-bananapi-bpi-r4-pro-8x-wifi-mt7996a.dtso	dtso	supporting	dts:overlay:pcie	M09-direct-8X-WiFi-overlay-PCIe-context	review-only	M09	Dense-read: direct 8X Wi-Fi overlay targets pcie0 and pcie1, adding mt76 pcie@0,0 nodes and MAC nvmem references.	M09 uses this only as PCIe topology context. M06/M07 own Wi-Fi hardware/userspace behavior and runtime validation.	pass: Wi-Fi overlay not used to claim Wi-Fi runtime or M09 migration action.
000859	A	target/linux/mediatek/files-6.6/arch/arm64/boot/dts/mediatek/mt7988a-bananapi-bpi-r4-pro-8x.dts	dts	primary,supporting,static-only	dts:button:definition,dts:fan:pwm,dts:led:definition,thermal:fan:pwm,ui:button:reset,ui:button:wps,dts:overlay:pcie,cellular:sim:interface,cellular:slot:m2-bkey,cellular:slot:minipcie,dts:overlay:cellular,expansion:m2-bkey:cellular,expansion:minipcie:cellular	M09-direct-8X-board-extras-static-topology	rewrite	M09	Dense-read: direct 8X DTS defines reset GPIO13, WPS GPIO14, red/blue PCA9555 LEDs, PCIe0/1 as mPCIe SIM2/SIM3, PCIe2 as M.2 key-B SIM1, PCIe3 as M.2 key-M SSD, PWM fan on pwm0, ssusb0 U2-only due pcie2 shared serdes, and ssusb1 enabled.	Rewrite into target 25.12 DTS structure as static board extras/topology only. Do not claim PCIe, USB, fan thermal, cellular module, or storage runtime success. M04/M05/M06/M10 own network/Wi-Fi/storage semantics inside the same DTS.	pass: direct 8X source read; static-only and secondary-step boundaries explicit.
000860	M	target/linux/mediatek/files-6.6/arch/arm64/boot/dts/mediatek/mt7988a-rfb-emmc.dtso	dtso	supporting	dts:overlay:pcie	M09-storage-overlay-boundary	defer	M10	Dense-read: MT7988A RFB eMMC overlay changes mmc-card/rootdisk-emmc and includes pcie0 slot node.	Non-8X RFB storage/rootdisk overlay. M09 records PCIe clue only; M10 owns eMMC/rootdisk/storage policy review. TODO: M10 compare with direct 8X eMMC overlay before any storage action.	pass: storage/rootdisk behavior not pulled into M09.
000861	A	target/linux/mediatek/files-6.6/arch/arm64/boot/dts/mediatek/mt7988a-rfb-eth0-gsw.dtso	dtso	primary	dts:led:definition	M09-supporting-RFB-Ethernet-LED-overlays	review-only	M09	Dense-read: RFB Ethernet overlay contains PHY/GSW LED definitions and pinctrl references for non-8X eth0 GSW layout.	Supporting LED style only. Direct 8X system LEDs are in 000859; Ethernet PHY LED/runtime behavior belongs to M04/M05 if needed.	pass: non-8X Ethernet LED overlay not copied.
000862	A	target/linux/mediatek/files-6.6/arch/arm64/boot/dts/mediatek/mt7988a-rfb-eth1-an8831x.dtso	dtso	primary	dts:led:definition	M09-supporting-RFB-Ethernet-LED-overlays	review-only	M09	Dense-read: RFB AN8831X overlay carries Ethernet PHY LED definitions for eth1-specific topology.	Supporting LED evidence only; not direct 8X system LED truth. M04/M05 own wired LED/PHY semantics.	pass: non-8X Ethernet LED overlay not copied.
000864	A	target/linux/mediatek/files-6.6/arch/arm64/boot/dts/mediatek/mt7988a-rfb-eth1-cux3410.dtso	dtso	primary	dts:led:definition	M09-supporting-RFB-Ethernet-LED-overlays	review-only	M09	Dense-read: RFB CUX3410 overlay carries Ethernet PHY LED definitions for eth1-specific topology.	Supporting LED evidence only; CUX/SFP/RJ45 behavior is M05, not M09.	pass: non-8X Ethernet LED overlay not copied.
000865	A	target/linux/mediatek/files-6.6/arch/arm64/boot/dts/mediatek/mt7988a-rfb-eth2-an8831x.dtso	dtso	primary	dts:led:definition	M09-supporting-RFB-Ethernet-LED-overlays	review-only	M09	Dense-read: RFB AN8831X overlay carries Ethernet PHY LED definitions for eth2-specific topology.	Supporting LED evidence only; direct 8X LEDs come from 000859.	pass: non-8X Ethernet LED overlay not copied.
000867	A	target/linux/mediatek/files-6.6/arch/arm64/boot/dts/mediatek/mt7988a-rfb-eth2-cux3410.dtso	dtso	primary	dts:led:definition	M09-supporting-RFB-Ethernet-LED-overlays	review-only	M09	Dense-read: RFB CUX3410 overlay carries Ethernet PHY LED definitions for eth2-specific topology.	Supporting LED evidence only; CUX/SFP/RJ45 behavior is M05, not M09.	pass: non-8X Ethernet LED overlay not copied.
000869	A	target/linux/mediatek/files-6.6/arch/arm64/boot/dts/mediatek/mt7988a-rfb-mxl86252.dts	dts	supporting	dts:overlay:pcie	M09-supporting-RFB-PCIe-USB-reference	review-only	M09	Dense-read: RFB MXL86252 DTS enables pcie0/pcie1/pcie3, disables pcie2, enables ssusb0/ssusb1, and carries wired switch content.	Supporting MT7988 RFB PCIe/USB style only. Direct 8X differs: pcie2 is M.2 key-B/cellular and ssusb0 is U2-only due shared serdes.	pass: RFB topology not treated as direct 8X truth.
000872	A	target/linux/mediatek/files-6.6/arch/arm64/boot/dts/mediatek/mt7988a-rfb-spim-nand-nmbm.dtso	dtso	supporting	dts:overlay:pcie	M09-storage-overlay-boundary	defer	M10	Dense-read: MT7988A RFB SPIM-NAND NMBM overlay enables spi-nand, UBI/rootfs partition labels, rootdisk-spim-nand, and pcie0 slot node.	Non-8X storage/rootdisk overlay. M09 records PCIe clue only; M10 owns NAND/NMBM/rootdisk review. TODO: M10 compare against direct 8X NAND/eMMC overlays.	pass: NAND/rootdisk behavior explicitly deferred.
000874	M	target/linux/mediatek/files-6.6/arch/arm64/boot/dts/mediatek/mt7988a-rfb.dts	dts	primary,supporting	dts:button:definition,ui:button:reset,ui:button:wps,dts:overlay:pcie	M09-supporting-RFB-board-extras	review-only	M09	Dense-read: MT7988A RFB DTS adds reset/WPS gpio-keys, storage bootargs, enables PCIe controllers, and includes pin-sharing notes.	Supporting RFB board-extras evidence only. Direct 8X reset/WPS and PCIe truth comes from 000859; storage bootargs belong to M10.	pass: RFB content scoped as context.
