owner_step	source_step	handoff_status	owner_step_tsv_has_file_id	owner_step_md_mentions_file_id	file_id	status	path	file_kind	route_classes	features	group	disposition	evidence	notes	minimalism_gate
M00	M00	owned-in-source-step	yes	no	000003	D	.devcontainer/ci-env/devcontainer.json	metadata	primary	source:tree:metadata	source-metadata	drop	Repository metadata, CI, or developer-file delta only.	No 8X runtime/build behavior for target migration.	context grouped; hardware files not dropped from filename alone
M00	M00	owned-in-source-step	yes	no	000004	D	.gitattributes	unknown	primary	source:tree:metadata	source-metadata	drop	Repository metadata, CI, or developer-file delta only.	No 8X runtime/build behavior for target migration.	context grouped; hardware files not dropped from filename alone
M00	M00	owned-in-source-step	yes	no	000005	D	.github/FUNDING.yml	metadata	primary	source:tree:metadata	source-metadata	drop	Repository metadata, CI, or developer-file delta only.	No 8X runtime/build behavior for target migration.	context grouped; hardware files not dropped from filename alone
M00	M00	owned-in-source-step	yes	no	000006	D	.github/ISSUE_TEMPLATE/bug-report.yml	metadata	primary	source:tree:metadata	source-metadata	drop	Repository metadata, CI, or developer-file delta only.	No 8X runtime/build behavior for target migration.	context grouped; hardware files not dropped from filename alone
M00	M00	owned-in-source-step	yes	no	000007	D	.github/ISSUE_TEMPLATE/config.yml	metadata	primary	source:tree:metadata	source-metadata	drop	Repository metadata, CI, or developer-file delta only.	No 8X runtime/build behavior for target migration.	context grouped; hardware files not dropped from filename alone
M00	M00	owned-in-source-step	yes	no	000008	D	.github/labeler.yml	metadata	primary	source:tree:metadata	source-metadata	drop	Repository metadata, CI, or developer-file delta only.	No 8X runtime/build behavior for target migration.	context grouped; hardware files not dropped from filename alone
M00	M00	owned-in-source-step	yes	no	000009	D	.github/pull_request_template	unknown	primary	source:tree:metadata	source-metadata	drop	Repository metadata, CI, or developer-file delta only.	No 8X runtime/build behavior for target migration.	context grouped; hardware files not dropped from filename alone
M00	M00	owned-in-source-step	yes	no	000010	D	.github/workflows/coverity.yml	metadata	primary	source:tree:metadata	source-metadata	drop	Repository metadata, CI, or developer-file delta only.	No 8X runtime/build behavior for target migration.	context grouped; hardware files not dropped from filename alone
M00	M00	owned-in-source-step	yes	no	000011	D	.github/workflows/formal.yml	metadata	primary	source:tree:metadata	source-metadata	drop	Repository metadata, CI, or developer-file delta only.	No 8X runtime/build behavior for target migration.	context grouped; hardware files not dropped from filename alone
M00	M00	owned-in-source-step	yes	no	000012	D	.github/workflows/github-release.yml	metadata	primary	source:tree:metadata	source-metadata	drop	Repository metadata, CI, or developer-file delta only.	No 8X runtime/build behavior for target migration.	context grouped; hardware files not dropped from filename alone
