owner_step	source_step	handoff_status	owner_step_tsv_has_file_id	owner_step_md_mentions_file_id	file_id	status	path	file_kind	route_classes	features	group	disposition	evidence	notes	minimalism_gate	audit_bucket	audit_action	audit_rationale
M05	M00	external-handoff-not-reacknowledged	no	no	000975	A	target/linux/mediatek/patches-6.6/999-1700-v6.8-net-phy-2p5g-eee-backport-read-support-link-mode-from-PMA.patch	patch	review-only	dts:soc:base,network:phy:generic,network:phy:multi-rate	wired-phy-switch-patch	defer	Patch concerns PCS/SFP/DSA/PHY/switch behavior.	M05 owns full wired switch, SFP, and 10G review.	context grouped; hardware files not dropped from filename alone	covered-by-topic	keep visible in global worklist; no immediate backfill unless follow-up audit disagrees	Audit says M05 markdown covers PHY/EEE/PCS/SFP/DSA/10G backports and full wired topics at topic level.
M05	M00	external-handoff-not-reacknowledged	no	no	000976	A	target/linux/mediatek/patches-6.6/999-1701-v6.8-net-phy-2p5g-eee-backport-ethtool-Add-forced-speed-to-supported-link-modes-map.patch	patch	review-only	dts:soc:base,network:phy:generic,network:phy:multi-rate	wired-phy-switch-patch	defer	Patch concerns PCS/SFP/DSA/PHY/switch behavior.	M05 owns full wired switch, SFP, and 10G review.	context grouped; hardware files not dropped from filename alone	covered-by-topic	keep visible in global worklist; no immediate backfill unless follow-up audit disagrees	Audit says M05 markdown covers PHY/EEE/PCS/SFP/DSA/10G backports and full wired topics at topic level.
M05	M00	external-handoff-not-reacknowledged	no	no	000977	A	target/linux/mediatek/patches-6.6/999-1702-v6.8-net-phy-2p5g-eee-backport-untangle-the-linkmode-and-ethtool-headers.patch	patch	review-only	dts:soc:base,network:phy:generic,network:phy:multi-rate	wired-phy-switch-patch	defer	Patch concerns PCS/SFP/DSA/PHY/switch behavior.	M05 owns full wired switch, SFP, and 10G review.	context grouped; hardware files not dropped from filename alone	covered-by-topic	keep visible in global worklist; no immediate backfill unless follow-up audit disagrees	Audit says M05 markdown covers PHY/EEE/PCS/SFP/DSA/10G backports and full wired topics at topic level.
M05	M00	external-handoff-not-reacknowledged	no	no	000979	A	target/linux/mediatek/patches-6.6/999-1704-v6.9-net-phy-2p5g-eee-backport-net-phy-add-support-for-the-EEE-2-registers.patch	patch	review-only	dts:soc:base,network:phy:generic,network:phy:multi-rate	wired-phy-switch-patch	defer	Patch concerns PCS/SFP/DSA/PHY/switch behavior.	M05 owns full wired switch, SFP, and 10G review.	context grouped; hardware files not dropped from filename alone	covered-by-topic	keep visible in global worklist; no immediate backfill unless follow-up audit disagrees	Audit says M05 markdown covers PHY/EEE/PCS/SFP/DSA/10G backports and full wired topics at topic level.
M05	M00	external-handoff-not-reacknowledged	no	no	000980	A	target/linux/mediatek/patches-6.6/999-1705-v6.9-net-phy-2p5g-eee-backport-net-phy-Add-BaseT1-auto-negotiation-constants.patch	patch	review-only	dts:soc:base,network:phy:generic,network:phy:multi-rate	wired-phy-switch-patch	defer	Patch concerns PCS/SFP/DSA/PHY/switch behavior.	M05 owns full wired switch, SFP, and 10G review.	context grouped; hardware files not dropped from filename alone	covered-by-topic	keep visible in global worklist; no immediate backfill unless follow-up audit disagrees	Audit says M05 markdown covers PHY/EEE/PCS/SFP/DSA/10G backports and full wired topics at topic level.
M05	M00	external-handoff-not-reacknowledged	no	no	000981	A	target/linux/mediatek/patches-6.6/999-1706-v6.9-net-phy-2p5g-eee-backport-net-phy-Support-100-1000BT1-linkmode-advertisements.patch	patch	review-only	dts:soc:base,network:phy:generic,network:phy:multi-rate	wired-phy-switch-patch	defer	Patch concerns PCS/SFP/DSA/PHY/switch behavior.	M05 owns full wired switch, SFP, and 10G review.	context grouped; hardware files not dropped from filename alone	covered-by-topic	keep visible in global worklist; no immediate backfill unless follow-up audit disagrees	Audit says M05 markdown covers PHY/EEE/PCS/SFP/DSA/10G backports and full wired topics at topic level.
M05	M00	external-handoff-not-reacknowledged	no	no	000982	A	target/linux/mediatek/patches-6.6/999-1707-v6.9-net-phy-2p5g-eee-backport-net-phy-c45-detect-100-1000BASE-T1-linkmode-advertis.patch	patch	review-only	dts:soc:base,network:phy:generic,network:phy:multi-rate	wired-phy-switch-patch	defer	Patch concerns PCS/SFP/DSA/PHY/switch behavior.	M05 owns full wired switch, SFP, and 10G review.	context grouped; hardware files not dropped from filename alone	covered-by-topic	keep visible in global worklist; no immediate backfill unless follow-up audit disagrees	Audit says M05 markdown covers PHY/EEE/PCS/SFP/DSA/10G backports and full wired topics at topic level.
M05	M00	external-handoff-not-reacknowledged	no	no	000983	A	target/linux/mediatek/patches-6.6/999-1708-v6.9-net-phy-2p5g-eee-backport-net-phy-simplify-genphy_c45_ethtool_set_eee.patch	patch	review-only	dts:soc:base,network:phy:generic,network:phy:multi-rate	wired-phy-switch-patch	defer	Patch concerns PCS/SFP/DSA/PHY/switch behavior.	M05 owns full wired switch, SFP, and 10G review.	context grouped; hardware files not dropped from filename alone	covered-by-topic	keep visible in global worklist; no immediate backfill unless follow-up audit disagrees	Audit says M05 markdown covers PHY/EEE/PCS/SFP/DSA/10G backports and full wired topics at topic level.
M05	M00	external-handoff-not-reacknowledged	no	no	000984	A	target/linux/mediatek/patches-6.6/999-1709-v6.9-net-phy-2p5g-eee-backport-net-ethernet-Rework-EEE.patch	patch	review-only	dts:soc:base,network:phy:generic,network:phy:multi-rate	wired-phy-switch-patch	defer	Patch concerns PCS/SFP/DSA/PHY/switch behavior.	M05 owns full wired switch, SFP, and 10G review.	context grouped; hardware files not dropped from filename alone	covered-by-topic	keep visible in global worklist; no immediate backfill unless follow-up audit disagrees	Audit says M05 markdown covers PHY/EEE/PCS/SFP/DSA/10G backports and full wired topics at topic level.
M05	M00	external-handoff-not-reacknowledged	no	no	000985	A	target/linux/mediatek/patches-6.6/999-1710-v6.9-net-phy-2p5g-eee-backport-net-phy-add-and-use-helper-phy_advertise_eee_all.patch	patch	review-only	dts:soc:base,network:phy:generic,network:phy:multi-rate	wired-phy-switch-patch	defer	Patch concerns PCS/SFP/DSA/PHY/switch behavior.	M05 owns full wired switch, SFP, and 10G review.	context grouped; hardware files not dropped from filename alone	covered-by-topic	keep visible in global worklist; no immediate backfill unless follow-up audit disagrees	Audit says M05 markdown covers PHY/EEE/PCS/SFP/DSA/10G backports and full wired topics at topic level.
M05	M00	external-handoff-not-reacknowledged	no	no	000986	A	target/linux/mediatek/patches-6.6/999-1711-v6.9-net-phy-2p5g-eee-backport-net-phy-respect-cached-advertising-when-re-enabling-EEE.patch	patch	review-only	dts:soc:base,network:phy:generic,network:phy:multi-rate	wired-phy-switch-patch	defer	Patch concerns PCS/SFP/DSA/PHY/switch behavior.	M05 owns full wired switch, SFP, and 10G review.	context grouped; hardware files not dropped from filename alone	covered-by-topic	keep visible in global worklist; no immediate backfill unless follow-up audit disagrees	Audit says M05 markdown covers PHY/EEE/PCS/SFP/DSA/10G backports and full wired topics at topic level.
M05	M00	external-handoff-not-reacknowledged	no	no	000987	A	target/linux/mediatek/patches-6.6/999-1712-v6.13-net-phy-2p5g-eee-backport-net-phy-remove-genphy_config_eee_advert.patch	patch	review-only	dts:soc:base,network:phy:generic,network:phy:multi-rate	wired-phy-switch-patch	defer	Patch concerns PCS/SFP/DSA/PHY/switch behavior.	M05 owns full wired switch, SFP, and 10G review.	context grouped; hardware files not dropped from filename alone	covered-by-topic	keep visible in global worklist; no immediate backfill unless follow-up audit disagrees	Audit says M05 markdown covers PHY/EEE/PCS/SFP/DSA/10G backports and full wired topics at topic level.
M05	M00	external-handoff-not-reacknowledged	no	no	000988	A	target/linux/mediatek/patches-6.6/999-1713-v6.13-net-phy-2p5g-eee-backport-net-simplify-eeecfg_mac_can_tx_lpi.patch	patch	review-only	dts:soc:base,network:phy:generic,network:phy:multi-rate	wired-phy-switch-patch	defer	Patch concerns PCS/SFP/DSA/PHY/switch behavior.	M05 owns full wired switch, SFP, and 10G review.	context grouped; hardware files not dropped from filename alone	covered-by-topic	keep visible in global worklist; no immediate backfill unless follow-up audit disagrees	Audit says M05 markdown covers PHY/EEE/PCS/SFP/DSA/10G backports and full wired topics at topic level.
M05	M00	external-handoff-not-reacknowledged	no	no	000989	A	target/linux/mediatek/patches-6.6/999-1714-v6.13-net-phy-2p5g-eee-backport-net-phy-c45-don-t-use-temporary-linkmode-bitmaps-in-genphy_c45_ethtool_get_eee.patch	patch	review-only	dts:soc:base,network:phy:generic,network:phy:multi-rate	wired-phy-switch-patch	defer	Patch concerns PCS/SFP/DSA/PHY/switch behavior.	M05 owns full wired switch, SFP, and 10G review.	context grouped; hardware files not dropped from filename alone	covered-by-topic	keep visible in global worklist; no immediate backfill unless follow-up audit disagrees	Audit says M05 markdown covers PHY/EEE/PCS/SFP/DSA/10G backports and full wired topics at topic level.
M05	M00	external-handoff-not-reacknowledged	no	no	000990	A	target/linux/mediatek/patches-6.6/999-1715-v6.13-net-phy-2p5g-eee-backport-net-phy-switch-eee_broken_modes-to-linkmode-bitmap-and-add-accessor.patch	patch	review-only	dts:soc:base,network:phy:generic,network:phy:multi-rate	wired-phy-switch-patch	defer	Patch concerns PCS/SFP/DSA/PHY/switch behavior.	M05 owns full wired switch, SFP, and 10G review.	context grouped; hardware files not dropped from filename alone	covered-by-topic	keep visible in global worklist; no immediate backfill unless follow-up audit disagrees	Audit says M05 markdown covers PHY/EEE/PCS/SFP/DSA/10G backports and full wired topics at topic level.
M05	M00	external-handoff-not-reacknowledged	no	no	000991	A	target/linux/mediatek/patches-6.6/999-1716-v6.13-net-phy-2p5g-eee-backport-net-phy-fix-phylib-s-dual-eee_enabled.patch	patch	review-only	dts:soc:base,network:phy:generic,network:phy:multi-rate	wired-phy-switch-patch	defer	Patch concerns PCS/SFP/DSA/PHY/switch behavior.	M05 owns full wired switch, SFP, and 10G review.	context grouped; hardware files not dropped from filename alone	covered-by-topic	keep visible in global worklist; no immediate backfill unless follow-up audit disagrees	Audit says M05 markdown covers PHY/EEE/PCS/SFP/DSA/10G backports and full wired topics at topic level.
M05	M00	external-handoff-not-reacknowledged	no	no	000992	A	target/linux/mediatek/patches-6.6/999-1717-v6.9-net-phy-2p5g-phy-backport-net-phy-simplify-a-check-in-phy_check_link_status.patch	patch	review-only	dts:soc:base,network:phy:generic,network:phy:multi-rate	wired-phy-switch-patch	defer	Patch concerns PCS/SFP/DSA/PHY/switch behavior.	M05 owns full wired switch, SFP, and 10G review.	context grouped; hardware files not dropped from filename alone	covered-by-topic	keep visible in global worklist; no immediate backfill unless follow-up audit disagrees	Audit says M05 markdown covers PHY/EEE/PCS/SFP/DSA/10G backports and full wired topics at topic level.
