file_id	status	file_kind	route_classes	features	path
000031	M	unknown	primary,supporting	boot:uboot:env,identity:uboot-env:ethaddr	package/boot/uboot-envtools/files/mediatek_filogic
000033	A	patch	primary,supporting,deferred	boot:uboot:bootmenu,boot:uboot:env,boot:uboot:recovery,boot:uboot:storage-layout	package/boot/uboot-mediatek/patches/999-add-bananapi_bpi-r4-pro-8x.patch
000490	A	makefile	supporting	boot:recovery:failsafe	package/mtk/reset-boot-count/Makefile
000491	A	unknown	supporting	boot:recovery:failsafe	package/mtk/reset-boot-count/files/reset-boot-count.init
000492	A	makefile	supporting	boot:recovery:failsafe	package/mtk/reset-boot-count/src/Makefile
000493	A	source	supporting	boot:recovery:failsafe	package/mtk/reset-boot-count/src/reset-boot-count.c
000811	M	makefile	primary,deferred	boot:recovery:factory-install,storage:partition:rootfs	package/system/fstools/Makefile
000812	A	patch	primary,deferred	boot:recovery:factory-install,storage:partition:rootfs	package/system/fstools/patches/0001-add-support-for-dual-boot.patch
000827	A	dtso	primary	dts:overlay:storage	target/linux/mediatek/files-6.6/arch/arm64/boot/dts/mediatek/mt7981-rfb-spim-nor.dtso
000829	A	dtso	primary	dts:overlay:storage	target/linux/mediatek/files-6.6/arch/arm64/boot/dts/mediatek/mt7987-emmc.dtso
000832	A	dtso	primary	dts:overlay:storage	target/linux/mediatek/files-6.6/arch/arm64/boot/dts/mediatek/mt7987-netsys-eth0-an8855.dtso
000842	A	dtsi	primary	dts:overlay:storage	target/linux/mediatek/files-6.6/arch/arm64/boot/dts/mediatek/mt7987-pinctrl.dtsi
000843	A	dtso	primary	dts:overlay:storage	target/linux/mediatek/files-6.6/arch/arm64/boot/dts/mediatek/mt7987-sd.dtso
000845	A	dtso	primary	dts:overlay:storage	target/linux/mediatek/files-6.6/arch/arm64/boot/dts/mediatek/mt7987-spim-nand.dtso
000846	A	dtso	primary	dts:overlay:storage	target/linux/mediatek/files-6.6/arch/arm64/boot/dts/mediatek/mt7987-spim-nor.dtso
000847	A	dtsi	primary	dts:overlay:storage	target/linux/mediatek/files-6.6/arch/arm64/boot/dts/mediatek/mt7987.dtsi
000851	A	dts	primary	dts:overlay:storage	target/linux/mediatek/files-6.6/arch/arm64/boot/dts/mediatek/mt7987a-bananapi-bpi-r4-lite.dts
000852	A	dts	primary	dts:overlay:storage	target/linux/mediatek/files-6.6/arch/arm64/boot/dts/mediatek/mt7987a-rfb.dts
000855	A	dtso	primary	dts:overlay:storage	target/linux/mediatek/files-6.6/arch/arm64/boot/dts/mediatek/mt7988a-bananapi-bpi-r4-pro-8x-emmc.dtso
000857	A	dtso	primary	dts:overlay:storage	target/linux/mediatek/files-6.6/arch/arm64/boot/dts/mediatek/mt7988a-bananapi-bpi-r4-pro-8x-sd.dtso
000858	A	dtso	primary	dts:overlay:storage	target/linux/mediatek/files-6.6/arch/arm64/boot/dts/mediatek/mt7988a-bananapi-bpi-r4-pro-8x-wifi-mt7996a.dtso
000859	A	dts	primary	dts:overlay:storage	target/linux/mediatek/files-6.6/arch/arm64/boot/dts/mediatek/mt7988a-bananapi-bpi-r4-pro-8x.dts
000860	M	dtso	primary	dts:overlay:storage	target/linux/mediatek/files-6.6/arch/arm64/boot/dts/mediatek/mt7988a-rfb-emmc.dtso
000861	A	dtso	primary	dts:overlay:storage	target/linux/mediatek/files-6.6/arch/arm64/boot/dts/mediatek/mt7988a-rfb-eth0-gsw.dtso
000869	A	dts	primary	dts:overlay:storage	target/linux/mediatek/files-6.6/arch/arm64/boot/dts/mediatek/mt7988a-rfb-mxl86252.dts
000870	M	dtso	primary	dts:overlay:storage	target/linux/mediatek/files-6.6/arch/arm64/boot/dts/mediatek/mt7988a-rfb-sd.dtso
000872	A	dtso	primary	dts:overlay:storage	target/linux/mediatek/files-6.6/arch/arm64/boot/dts/mediatek/mt7988a-rfb-spim-nand-nmbm.dtso
000873	M	dtso	primary	dts:overlay:storage	target/linux/mediatek/files-6.6/arch/arm64/boot/dts/mediatek/mt7988a-rfb-spim-nor.dtso
000874	M	dts	primary	dts:overlay:storage	target/linux/mediatek/files-6.6/arch/arm64/boot/dts/mediatek/mt7988a-rfb.dts
000875	M	dtsi	primary	dts:overlay:storage	target/linux/mediatek/files-6.6/arch/arm64/boot/dts/mediatek/mt7988a.dtsi
000876	A	dtso	primary	dts:overlay:storage	target/linux/mediatek/files-6.6/arch/arm64/boot/dts/mediatek/mt7988d-rfb-eth0-gsw.dtso
000878	A	dts	primary	dts:overlay:storage	target/linux/mediatek/files-6.6/arch/arm64/boot/dts/mediatek/mt7988d-rfb.dts
001131	A	patch	primary	storage:partition:rootfs	target/linux/mediatek/patches-6.6/999-dual-boot-01-do-not-auto-mount-ubi-rootfs.patch
001132	A	patch	primary	storage:partition:rootfs	target/linux/mediatek/patches-6.6/999-dual-boot-02-ubi-allow-no-default-rootdev.patch
001133	A	patch	primary	storage:partition:rootfs	target/linux/mediatek/patches-6.6/999-dual-boot-03-fitblk-do-not-split-rootfs_data-if-required.patch
